Epoch,Iteration,Average Loss,Loss Value,Average AUC,Average F1,Loss PR,epoch,iter,avg_loss,loss,average_auc,average_f1,average_pr,start_time,end_time
,,,,,,,0.0,3.0,4193.425751134753,0.8712453842163086,0.6761964853516876,0.767472506031819,0.767472506031819,1697237029.54805,1697237043.2790701
,,,,,,,1.0,3.0,2456.4248238503933,10.04458999633789,0.6816181245938967,0.7733006919095389,0.7733006919095389,1697237029.54805,1697237055.8514807
,,,,,,,2.0,3.0,1755.6415831446648,4.403745174407959,0.6901657720706431,0.7827653693127328,0.7827653693127328,1697237029.54805,1697237068.8269892
,,,,,,,3.0,3.0,1413.8550654649734,2.402449607849121,0.6791861407161055,0.764078612595814,0.764078612595814,1697237029.54805,1697237081.556364
,,,,,,,4.0,3.0,1162.229265511036,4.261623382568359,0.6184938469114418,0.7479158889031601,0.7479158889031601,1697237029.54805,1697237094.4496553
,,,,,,,5.0,3.0,1026.7984087467194,4.091972827911377,0.6356084678274699,0.754356686721373,0.754356686721373,1697237029.54805,1697237107.1233938
,,,,,,,6.0,3.0,917.4722784459591,1.8186721801757812,0.6955052295051432,0.7739032589350028,0.7739032589350028,1697237029.54805,1697237118.735565
,,,,,,,7.0,3.0,835.2929546236992,1.751320719718933,0.7319450148853994,0.7963224639279707,0.7963224639279707,1697237029.54805,1697237133.8057227
,,,,,,,8.0,3.0,755.4714826643467,1.5562810897827148,0.7512014857339712,0.7933775341156244,0.7933775341156244,1697237029.54805,1697237146.9145973
,,,,,,,9.0,3.0,669.2671504914761,1.286903977394104,0.7714666131268263,0.796412909296788,0.796412909296788,1697237029.54805,1697237159.8184595
,,,,,,,10.0,3.0,600.0183548927307,1.5829133987426758,0.7835897858670917,0.8006838890628254,0.8006838890628254,1697237029.54805,1697237172.4509876
,,,,,,,11.0,3.0,541.1257787942886,1.732833981513977,0.7834127731800293,0.8064205371480322,0.8064205371480322,1697237029.54805,1697237185.192253
,,,,,,,12.0,3.0,489.8086304217577,1.1805490255355835,0.7866156390168283,0.8073772108259187,0.8073772108259187,1697237029.54805,1697237197.3431718
,,,,,,,13.0,3.0,449.88292323052883,1.2290468215942383,0.7866164595981722,0.8139525169557061,0.8139525169557061,1697237029.54805,1697237209.2936175
,,,,,,,14.0,3.0,412.92659901082516,0.5039545893669128,0.7869405014150156,0.8096113008392556,0.8096113008392556,1697237029.54805,1697237221.9910507
,,,,,,,15.0,3.0,376.5198575183749,0.42272767424583435,0.7809246603434228,0.8032697762095413,0.8032697762095413,1697237029.54805,1697237235.0434813
,,,,,,,16.0,3.0,355.0289230644703,1.022657871246338,0.7727979731346508,0.7994882872306841,0.7994882872306841,1697237029.54805,1697237247.9486282
,,,,,,,17.0,3.0,330.02655249089,1.7075046300888062,0.7684470293180488,0.7974292293489619,0.7974292293489619,1697237029.54805,1697237261.8774807
,,,,,,,18.0,3.0,309.39049212634563,0.9110085368156433,0.7681726980952872,0.8042460935089828,0.8042460935089828,1697237029.54805,1697237275.5760477
,,,,,,,19.0,3.0,291.57630468159914,1.1425707340240479,0.767296083734315,0.8011186595588844,0.8011186595588844,1697237029.54805,1697237287.3773396
,,,,,,,20.0,3.0,279.0731739923358,1.1421939134597778,0.7591706903973813,0.7937554128375792,0.7937554128375792,1697237029.54805,1697237299.9324076
,,,,,,,21.0,3.0,268.1826767772436,0.4615310728549957,0.7541151864145597,0.7944066127906015,0.7944066127906015,1697237029.54805,1697237313.3958352
,,,,,,,22.0,3.0,257.8316746354103,1.1469957828521729,0.7499758979894968,0.7973371705800271,0.7973371705800271,1697237029.54805,1697237326.5408254
,,,,,,,23.0,3.0,247.63556373119354,0.23953264951705933,0.7465639805065014,0.7949852515516833,0.7949852515516833,1697237029.54805,1697237339.309809
,,,,,,,24.0,3.0,239.4746131747961,0.5629664659500122,0.738066284147453,0.7888386663836948,0.7888386663836948,1697237029.54805,1697237352.0432496
,,,,,,,25.0,3.0,233.97770465165377,0.4366147518157959,0.7335532160661253,0.7835632730980866,0.7835632730980866,1697237029.54805,1697237364.292539
,,,,,,,26.0,3.0,226.84597624093294,0.4447985887527466,0.7254708727025277,0.7791668770089463,0.7791668770089463,1697237029.54805,1697237375.3204637
,,,,,,,27.0,3.0,224.90320589393377,0.6301775574684143,0.728078700728153,0.7808349408394439,0.7808349408394439,1697237029.54805,1697237387.758477
,,,,,,,28.0,3.0,219.11124158650637,0.6030242443084717,0.7201645084372401,0.7838703160206075,0.7838703160206075,1697237029.54805,1697237402.4958363
,,,,,,,29.0,3.0,217.10117210447788,0.4021180272102356,0.7204110392029481,0.7797199107942829,0.7797199107942829,1697237029.54805,1697237415.1724756
,,,,,,,30.0,3.0,212.64748384803534,0.5001806020736694,0.7141317723665997,0.77443239771904,0.77443239771904,1697237029.54805,1697237427.71471
,,,,,,,31.0,3.0,209.36537819355726,1.2519962787628174,0.709238170821232,0.7775598316691383,0.7775598316691383,1697237029.54805,1697237439.2270887
,,,,,,,32.0,3.0,206.69122936576605,0.34852135181427,0.7125138468097014,0.7745944374531523,0.7745944374531523,1697237029.54805,1697237451.3944354
,,,,,,,33.0,3.0,205.3318533450365,0.5885681509971619,0.7145302775818468,0.7775831586575308,0.7775831586575308,1697237029.54805,1697237464.2682695
,,,,,,,34.0,3.0,202.72207940369844,0.6478114724159241,0.7032767011835984,0.7745687474568167,0.7745687474568167,1697237029.54805,1697237477.543889
,,,,,,,35.0,3.0,201.22769251093268,0.6175311207771301,0.7014971912652281,0.7684675026266454,0.7684675026266454,1697237029.54805,1697237490.8694823
